emoji,name,slug,group
😤,face with steam from nose,face_with_steam_from_nose,
😡,enraged face,enraged_face,
😠,angry face,angry_face,
🤬,face with symbols on mouth,face_with_symbols_on_mouth,
😈,smiling face with horns,smiling_face_with_horns,
👿,angry face with horns,angry_face_with_horns,
💀,skull,skull,
☠️,skull and crossbones,skull_and_crossbones,
💩,pile of poo,pile_of_poo,
🤡,clown face,clown_face,
👹,ogre,ogre,
👺,goblin,goblin,
👻,ghost,ghost,
👽,alien,alien,
👾,alien monster,alien_monster,
🤖,robot,robot,
😺,grinning cat,grinning_cat,
😸,grinning cat with smiling eyes,grinning_cat_with_smiling_eyes,
😹,cat with tears of joy,cat_with_tears_of_joy,
😻,smiling cat with heart-eyes,smiling_cat_with_heart_eyes,
😼,cat with wry smile,cat_with_wry_smile,
😽,kissing cat,kissing_cat,
🙀,weary cat,weary_cat,
😿,crying cat,crying_cat,
😾,pouting cat,pouting_cat,
🙈,see-no-evil monkey,see_no_evil_monkey,
🙉,hear-no-evil monkey,hear_no_evil_monkey,
🙊,speak-no-evil monkey,speak_no_evil_monkey,
💌,love letter,love_letter,
💘,heart with arrow,heart_with_arrow,
💝,heart with ribbon,heart_with_ribbon,
💖,sparkling heart,sparkling_heart,
💗,growing heart,growing_heart,
💓,beating heart,beating_heart,
💞,revolving hearts,revolving_hearts,
💕,two hearts,two_hearts,
💟,heart decoration,heart_decoration,
❣️,heart exclamation,heart_exclamation,
💔,broken heart,broken_heart,
❤️‍🔥,heart on fire,heart_on_fire,
❤️‍🩹,mending heart,mending_heart,
❤️,red heart,red_heart,
🩷,pink heart,pink_heart,
🧡,orange heart,orange_heart,
💛,yellow heart,yellow_heart,
💚,green heart,green_heart,
💙,blue heart,blue_heart,
🩵,light blue heart,light_blue_heart,
💜,purple heart,purple_heart,
🤎,brown heart,brown_heart,
🖤,black heart,black_heart,
🩶,grey heart,grey_heart,
🤍,white heart,white_heart,
💋,kiss mark,kiss_mark,
💯,hundred points,hundred_points,
💢,anger symbol,anger_symbol,
💥,collision,collision,
💫,dizzy,dizzy,
💦,sweat droplets,sweat_droplets,
💨,dashing away,dashing_away,
🕳️,hole,hole,
💬,speech balloon,speech_balloon,
👁️‍🗨️,eye in speech bubble,eye_in_speech_bubble,
🗨️,left speech bubble,left_speech_bubble,
🗯️,right anger bubble,right_anger_bubble,
💭,thought balloon,thought_balloon,
💤,ZZZ,zzz,
👋,waving hand,waving_hand,
🤚,raised back of hand,raised_back_of_hand,
🖐️,hand with fingers splayed,hand_with_fingers_splayed,
✋,raised hand,raised_hand,
🖖,vulcan salute,vulcan_salute,
🫱,rightwards hand,rightwards_hand,
🫲,leftwards hand,leftwards_hand,
🫳,palm down hand,palm_down_hand,
🫴,palm up hand,palm_up_hand,
🫷,leftwards pushing hand,leftwards_pushing_hand,
🫸,rightwards pushing hand,rightwards_pushing_hand,
👌,OK hand,ok_hand,
🤌,pinched fingers,pinched_fingers,
🤏,pinching hand,pinching_hand,
✌️,victory hand,victory_hand,
🤞,crossed fingers,crossed_fingers,
🫰,hand with index finger and thumb crossed,hand_with_index_finger_and_thumb_crossed,
🤟,love-you gesture,love_you_gesture,
🤘,sign of the horns,sign_of_the_horns,
🤙,call me hand,call_me_hand,
👈,backhand index pointing left,backhand_index_pointing_left,
👉,backhand index pointing right,backhand_index_pointing_right,
👆,backhand index pointing up,backhand_index_pointing_up,
🖕,middle finger,middle_finger,
👇,backhand index pointing down,backhand_index_pointing_down,
☝️,index pointing up,index_pointing_up,
🫵,index pointing at the viewer,index_pointing_at_the_viewer,
👍,thumbs up,thumbs_up,
👎,thumbs down,thumbs_down,
✊,raised fist,raised_fist,
👊,oncoming fist,oncoming_fist,
🤛,left-facing fist,left_facing_fist,
🤜,right-facing fist,right_facing_fist,
👏,clapping hands,clapping_hands,
🙌,raising hands,raising_hands,
🫶,heart hands,heart_hands,
👐,open hands,open_hands,
🤲,palms up together,palms_up_together,
🤝,handshake,handshake,
🙏,folded hands,folded_hands,
✍️,writing hand,writing_hand,
💅,nail polish,nail_polish,
🤳,selfie,selfie,
💪,flexed biceps,flexed_biceps,
🦾,mechanical arm,mechanical_arm,
🦿,mechanical leg,mechanical_leg,
🦵,leg,leg,
🦶,foot,foot,
👂,ear,ear,
🦻,ear with hearing aid,ear_with_hearing_aid,
👃,nose,nose,
🧠,brain,brain,
🫀,anatomical heart,anatomical_heart,
🫁,lungs,lungs,
🦷,tooth,tooth,
🦴,bone,bone,
👀,eyes,eyes,
👁️,eye,eye,
👅,tongue,tongue,
👄,mouth,mouth,
🫦,biting lip,biting_lip,
👶,baby,baby,
🧒,child,child,
👦,boy,boy,
👧,girl,girl,
🧑,person,person,
👱,person blond hair,person_blond_hair,
👨,man,man,
🧔,person beard,person_beard,
🧔‍♂️,man beard,man_beard,
🧔‍♀️,woman beard,woman_beard,
👨‍🦰,man red hair,man_red_hair,
👨‍🦱,man curly hair,man_curly_hair,
👨‍🦳,man white hair,man_white_hair,
👨‍🦲,man bald,man_bald,
👩,woman,woman,
👩‍🦰,woman red hair,woman_red_hair,
🧑‍🦰,person red hair,person_red_hair,
👩‍🦱,woman curly hair,woman_curly_hair,
🧑‍🦱,person curly hair,person_curly_hair,
👩‍🦳,woman white hair,woman_white_hair,
🧑‍🦳,person white hair,person_white_hair,
👩‍🦲,woman bald,woman_bald,
🧑‍🦲,person bald,person_bald,
👱‍♀️,woman blond hair,woman_blond_hair,
👱‍♂️,man blond hair,man_blond_hair,
🧓,older person,older_person,
👴,old man,old_man,
👵,old woman,old_woman,
🙍,person frowning,person_frowning,
🙍‍♂️,man frowning,man_frowning,
🙍‍♀️,woman frowning,woman_frowning,
🙎,person pouting,person_pouting,
🙎‍♂️,man pouting,man_pouting,
🙎‍♀️,woman pouting,woman_pouting,
🙅,person gesturing NO,person_gesturing_no,
🙅‍♂️,man gesturing NO,man_gesturing_no,
🙅‍♀️,woman gesturing NO,woman_gesturing_no,
🙆,person gesturing OK,person_gesturing_ok,
🙆‍♂️,man gesturing OK,man_gesturing_ok,
🙆‍♀️,woman gesturing OK,woman_gesturing_ok,
💁,person tipping hand,person_tipping_hand,
💁‍♂️,man tipping hand,man_tipping_hand,
💁‍♀️,woman tipping hand,woman_tipping_hand,
🙋,person raising hand,person_raising_hand,
🙋‍♂️,man raising hand,man_raising_hand,
🙋‍♀️,woman raising hand,woman_raising_hand,
🧏,deaf person,deaf_person,
🧏‍♂️,deaf man,deaf_man,
🧏‍♀️,deaf woman,deaf_woman,
🙇,person bowing,person_bowing,
🙇‍♂️,man bowing,man_bowing,
🙇‍♀️,woman bowing,woman_bowing,
🤦,person facepalming,person_facepalming,
🤦‍♂️,man facepalming,man_facepalming,
🤦‍♀️,woman facepalming,woman_facepalming,
🤷,person shrugging,person_shrugging,
🤷‍♂️,man shrugging,man_shrugging,
🤷‍♀️,woman shrugging,woman_shrugging,
🧑‍⚕️,health worker,health_worker,
👨‍⚕️,man health worker,man_health_worker,
👩‍⚕️,woman health worker,woman_health_worker,
🧑‍🎓,student,student,
👨‍🎓,man student,man_student,
👩‍🎓,woman student,woman_student,
🧑‍🏫,teacher,teacher,
👨‍🏫,man teacher,man_teacher,
👩‍🏫,woman teacher,woman_teacher,
🧑‍⚖️,judge,judge,
👨‍⚖️,man judge,man_judge,
👩‍⚖️,woman judge,woman_judge,
🧑‍🌾,farmer,farmer,
👨‍🌾,man farmer,man_farmer,
👩‍🌾,woman farmer,woman_farmer,
🧑‍🍳,cook,cook,
👨‍🍳,man cook,man_cook,
👩‍🍳,woman cook,woman_cook,
🧑‍🔧,mechanic,mechanic,
👨‍🔧,man mechanic,man_mechanic,
👩‍🔧,woman mechanic,woman_mechanic,
🧑‍🏭,factory worker,factory_worker,
👨‍🏭,man factory worker,man_factory_worker,
👩‍🏭,woman factory worker,woman_factory_worker,
🧑‍💼,office worker,office_worker,
👨‍💼,man office worker,man_office_worker,
👩‍💼,woman office worker,woman_office_worker,
🧑‍🔬,scientist,scientist,
👨‍🔬,man scientist,man_scientist,
👩‍🔬,woman scientist,woman_scientist,
🧑‍💻,technologist,technologist,
👨‍💻,man technologist,man_technologist,
👩‍💻,woman technologist,woman_technologist,
🧑‍🎤,singer,singer,
👨‍🎤,man singer,man_singer,
👩‍🎤,woman singer,woman_singer,
🧑‍🎨,artist,artist,
👨‍🎨,man artist,man_artist,
👩‍🎨,woman artist,woman_artist,
🧑‍✈️,pilot,pilot,
👨‍✈️,man pilot,man_pilot,
👩‍✈️,woman pilot,woman_pilot,
🧑‍🚀,astronaut,astronaut,
👨‍🚀,man astronaut,man_astronaut,
👩‍🚀,woman astronaut,woman_astronaut,
🧑‍🚒,firefighter,firefighter,
👨‍🚒,man firefighter,man_firefighter,
👩‍🚒,woman firefighter,woman_firefighter,
👮,police officer,police_officer,
👮‍♂️,man police officer,man_police_officer,
👮‍♀️,woman police officer,woman_police_officer,
🕵️,detective,detective,
🕵️‍♂️,man detective,man_detective,
🕵️‍♀️,woman detective,woman_detective,
💂,guard,guard,
💂‍♂️,man guard,man_guard,
💂‍♀️,woman guard,woman_guard,
🥷,ninja,ninja,
👷,construction worker,construction_worker,
👷‍♂️,man construction worker,man_construction_worker,
👷‍♀️,woman construction worker,woman_construction_worker,
🫅,person with crown,person_with_crown,
🤴,prince,prince,
👸,princess,princess,
👳,person wearing turban,person_wearing_turban,
👳‍♂️,man wearing turban,man_wearing_turban,
👳‍♀️,woman wearing turban,woman_wearing_turban,
👲,person with skullcap,person_with_skullcap,
🧕,woman with headscarf,woman_with_headscarf,
🤵,person in tuxedo,person_in_tuxedo,
🤵‍♂️,man in tuxedo,man_in_tuxedo,
🤵‍♀️,woman in tuxedo,woman_in_tuxedo,
👰,person with veil,person_with_veil,
👰‍♂️,man with veil,man_with_veil,
👰‍♀️,woman with veil,woman_with_veil,
🤰,pregnant woman,pregnant_woman,
🫃,pregnant man,pregnant_man,
🫄,pregnant person,pregnant_person,
🤱,breast-feeding,breast_feeding,
👩‍🍼,woman feeding baby,woman_feeding_baby,
👨‍🍼,man feeding baby,man_feeding_baby,
🧑‍🍼,person feeding baby,person_feeding_baby,
👼,baby angel,baby_angel,
🎅,Santa Claus,santa_claus,
🤶,Mrs. Claus,mrs_claus,
🧑‍🎄,Mx Claus,mx_claus,
🦸,superhero,superhero,
🦸‍♂️,man superhero,man_superhero,
🦸‍♀️,woman superhero,woman_superhero,
🦹,supervillain,supervillain,
🦹‍♂️,man supervillain,man_supervillain,
🦹‍♀️,woman supervillain,woman_supervillain,
🧙,mage,mage,
🧙‍♂️,man mage,man_mage,
🧙‍♀️,woman mage,woman_mage,
🧚,fairy,fairy,
🧚‍♂️,man fairy,man_fairy,
🧚‍♀️,woman fairy,woman_fairy,
🧛,vampire,vampire,
🧛‍♂️,man vampire,man_vampire,
🧛‍♀️,woman vampire,woman_vampire,
🧜,merperson,merperson,
🧜‍♂️,merman,merman,
🧜‍♀️,mermaid,mermaid,
🧝,elf,elf,
🧝‍♂️,man elf,man_elf,
🧝‍♀️,woman elf,woman_elf,
🧞,genie,genie,
🧞‍♂️,man genie,man_genie,
🧞‍♀️,woman genie,woman_genie,
🧟,zombie,zombie,
🧟‍♂️,man zombie,man_zombie,
🧟‍♀️,woman zombie,woman_zombie,
🧌,troll,troll,
💆,person getting massage,person_getting_massage,
💆‍♂️,man getting massage,man_getting_massage,
💆‍♀️,woman getting massage,woman_getting_massage,
💇,person getting haircut,person_getting_haircut,
💇‍♂️,man getting haircut,man_getting_haircut,
💇‍♀️,woman getting haircut,woman_getting_haircut,
🚶,person walking,person_walking,
🚶‍♂️,man walking,man_walking,
🚶‍♀️,woman walking,woman_walking,
🚶‍➡️,person walking facing right,person_walking_facing_right,
🚶‍♀️‍➡️,woman walking facing right,woman_walking_facing_right,
🚶‍♂️‍➡️,man walking facing right,man_walking_facing_right,
🧍,person standing,person_standing,
🧍‍♂️,man standing,man_standing,
🧍‍♀️,woman standing,woman_standing,
🧎,person kneeling,person_kneeling,
🧎‍♂️,man kneeling,man_kneeling,
🧎‍♀️,woman kneeling,woman_kneeling,
🧎‍➡️,person kneeling facing right,person_kneeling_facing_right,
🧎‍♀️‍➡️,woman kneeling facing right,woman_kneeling_facing_right,
🧎‍♂️‍➡️,man kneeling facing right,man_kneeling_facing_right,
🧑‍🦯,person with white cane,person_with_white_cane,
🧑‍🦯‍➡️,person with white cane facing right,person_with_white_cane_facing_right,
👨‍🦯,man with white cane,man_with_white_cane,
👨‍🦯‍➡️,man with white cane facing right,man_with_white_cane_facing_right,
👩‍🦯,woman with white cane,woman_with_white_cane,
👩‍🦯‍➡️,woman with white cane facing right,woman_with_white_cane_facing_right,
🧑‍🦼,person in motorized wheelchair,person_in_motorized_wheelchair,
🧑‍🦼‍➡️,person in motorized wheelchair facing right,person_in_motorized_wheelchair_facing_right,
👨‍🦼,man in motorized wheelchair,man_in_motorized_wheelchair,
👨‍🦼‍➡️,man in motorized wheelchair facing right,man_in_motorized_wheelchair_facing_right,
👩‍🦼,woman in motorized wheelchair,woman_in_motorized_wheelchair,
👩‍🦼‍➡️,woman in motorized wheelchair facing right,woman_in_motorized_wheelchair_facing_right,
🧑‍🦽,person in manual wheelchair,person_in_manual_wheelchair,
🧑‍🦽‍➡️,person in manual wheelchair facing right,person_in_manual_wheelchair_facing_right,
👨‍🦽,man in manual wheelchair,man_in_manual_wheelchair,
👨‍🦽‍➡️,man in manual wheelchair facing right,man_in_manual_wheelchair_facing_right,
👩‍🦽,woman in manual wheelchair,woman_in_manual_wheelchair,
👩‍🦽‍➡️,woman in manual wheelchair facing right,woman_in_manual_wheelchair_facing_right,
🏃,person running,person_running,
🏃‍♂️,man running,man_running,
🏃‍♀️,woman running,woman_running,
🏃‍➡️,person running facing right,person_running_facing_right,
🏃‍♀️‍➡️,woman running facing right,woman_running_facing_right,
🏃‍♂️‍➡️,man running facing right,man_running_facing_right,
💃,woman dancing,woman_dancing,
🕺,man dancing,man_dancing,
🕴️,person in suit levitating,person_in_suit_levitating,
👯,people with bunny ears,people_with_bunny_ears,
👯‍♂️,men with bunny ears,men_with_bunny_ears,
👯‍♀️,women with bunny ears,women_with_bunny_ears,
🧖,person in steamy room,person_in_steamy_room,
🧖‍♂️,man in steamy room,man_in_steamy_room,
🧖‍♀️,woman in steamy room,woman_in_steamy_room,
🧗,person climbing,person_climbing,
🧗‍♂️,man climbing,man_climbing,
🧗‍♀️,woman climbing,woman_climbing,
🤺,person fencing,person_fencing,
🏇,horse racing,horse_racing,
⛷️,skier,skier,
🏂,snowboarder,snowboarder,
🏌️,person golfing,person_golfing,
🏌️‍♂️,man golfing,man_golfing,
🏌️‍♀️,woman golfing,woman_golfing,
🏄,person surfing,person_surfing,
🏄‍♂️,man surfing,man_surfing,
🏄‍♀️,woman surfing,woman_surfing,
🚣,person rowing boat,person_rowing_boat,
🚣‍♂️,man rowing boat,man_rowing_boat,
🚣‍♀️,woman rowing boat,woman_rowing_boat,
🏊,person swimming,person_swimming,
🏊‍♂️,man swimming,man_swimming,
🏊‍♀️,woman swimming,woman_swimming,
⛹️,person bouncing ball,person_bouncing_ball,
⛹️‍♂️,man bouncing ball,man_bouncing_ball,
⛹️‍♀️,woman bouncing ball,woman_bouncing_ball,
🏋️,person lifting weights,person_lifting_weights,
🏋️‍♂️,man lifting weights,man_lifting_weights,
🏋️‍♀️,woman lifting weights,woman_lifting_weights,
🚴,person biking,person_biking,
🚴‍♂️,man biking,man_biking,
🚴‍♀️,woman biking,woman_biking,
🚵,person mountain biking,person_mountain_biking,
🚵‍♂️,man mountain biking,man_mountain_biking,
🚵‍♀️,woman mountain biking,woman_mountain_biking,
🤸,person cartwheeling,person_cartwheeling,
🤸‍♂️,man cartwheeling,man_cartwheeling,
🤸‍♀️,woman cartwheeling,woman_cartwheeling,
🤼,people wrestling,people_wrestling,
🤼‍♂️,men wrestling,men_wrestling,
🤼‍♀️,women wrestling,women_wrestling,
🤽,person playing water polo,person_playing_water_polo,
🤽‍♂️,man playing water polo,man_playing_water_polo,
🤽‍♀️,woman playing water polo,woman_playing_water_polo,
🤾,person playing handball,person_playing_handball,
🤾‍♂️,man playing handball,man_playing_handball,
🤾‍♀️,woman playing handball,woman_playing_handball,
🤹,person juggling,person_juggling,
🤹‍♂️,man juggling,man_juggling,
🤹‍♀️,woman juggling,woman_juggling,
🧘,person in lotus position,person_in_lotus_position,
🧘‍♂️,man in lotus position,man_in_lotus_position,
🧘‍♀️,woman in lotus position,woman_in_lotus_position,
🛀,person taking bath,person_taking_bath,
🛌,person in bed,person_in_bed,
🧑‍🤝‍🧑,people holding hands,people_holding_hands,
👭,women holding hands,women_holding_hands,
👫,woman and man holding hands,woman_and_man_holding_hands,
👬,men holding hands,men_holding_hands,
💏,kiss,kiss,
👩‍❤️‍💋‍👨,"kiss woman, man",kiss_woman_man,
👨‍❤️‍💋‍👨,"kiss man, man",kiss_man_man,
👩‍❤️‍💋‍👩,"kiss woman, woman",kiss_woman_woman,
💑,couple with heart,couple_with_heart,
👩‍❤️‍👨,"couple with heart woman, man",couple_with_heart_woman_man,
👨‍❤️‍👨,"couple with heart man, man",couple_with_heart_man_man,
👩‍❤️‍👩,"couple with heart woman, woman",couple_with_heart_woman_woman,
👨‍👩‍👦,"family man, woman, boy",family_man_woman_boy,
👨‍👩‍👧,"family man, woman, girl",family_man_woman_girl,
👨‍👩‍👧‍👦,"family man, woman, girl, boy",family_man_woman_girl_boy,
👨‍👩‍👦‍👦,"family man, woman, boy, boy",family_man_woman_boy_boy,
👨‍👩‍👧‍👧,"family man, woman, girl, girl",family_man_woman_girl_girl,
👨‍👨‍👦,"family man, man, boy",family_man_man_boy,
👨‍👨‍👧,"family man, man, girl",family_man_man_girl,
👨‍👨‍👧‍👦,"family man, man, girl, boy",family_man_man_girl_boy,
👨‍👨‍👦‍👦,"family man, man, boy, boy",family_man_man_boy_boy,
👨‍👨‍👧‍👧,"family man, man, girl, girl",family_man_man_girl_girl,
👩‍👩‍👦,"family woman, woman, boy",family_woman_woman_boy,
👩‍👩‍👧,"family woman, woman, girl",family_woman_woman_girl,
👩‍👩‍👧‍👦,"family woman, woman, girl, boy",family_woman_woman_girl_boy,
👩‍👩‍👦‍👦,"family woman, woman, boy, boy",family_woman_woman_boy_boy,
👩‍👩‍👧‍👧,"family woman, woman, girl, girl",family_woman_woman_girl_girl,
👨‍👦,"family man, boy",family_man_boy,
👨‍👦‍👦,"family man, boy, boy",family_man_boy_boy,
👨‍👧,"family man, girl",family_man_girl,
👨‍👧‍👦,"family man, girl, boy",family_man_girl_boy,
👨‍👧‍👧,"family man, girl, girl",family_man_girl_girl,
👩‍👦,"family woman, boy",family_woman_boy,
👩‍👦‍👦,"family woman, boy, boy",family_woman_boy_boy,
👩‍👧,"family woman, girl",family_woman_girl,
👩‍👧‍👦,"family woman, girl, boy",family_woman_girl_boy,
👩‍👧‍👧,"family woman, girl, girl",family_woman_girl_girl,
🗣️,speaking head,speaking_head,
👤,bust in silhouette,bust_in_silhouette,
👥,busts in silhouette,busts_in_silhouette,
🫂,people hugging,people_hugging,
👪,family,family,
🧑‍🧑‍🧒,"family adult, adult, child",family_adult_adult_child,
🧑‍🧑‍🧒‍🧒,"family adult, adult, child, child",family_adult_adult_child_child,
🧑‍🧒,"family adult, child",family_adult_child,
🧑‍🧒‍🧒,"family adult, child, child",family_adult_child_child,
👣,footprints,footprints,
🫆,fingerprint,fingerprint,
🐵,monkey face,monkey_face,
🐒,monkey,monkey,
🦍,gorilla,gorilla,
🦧,orangutan,orangutan,
🐶,dog face,dog_face,
🐕,dog,dog,
🦮,guide dog,guide_dog,
🐕‍🦺,service dog,service_dog,
🐩,poodle,poodle,
🐺,wolf,wolf,
🦊,fox,fox,
🦝,raccoon,raccoon,
🐱,cat face,cat_face,
🐈,cat,cat,
🐈‍⬛,black cat,black_cat,
🦁,lion,lion,
🐯,tiger face,tiger_face,
🐅,tiger,tiger,
🐆,leopard,leopard,
🐴,horse face,horse_face,
🫎,moose,moose,
🫏,donkey,donkey,
🐎,horse,horse,
🦄,unicorn,unicorn,
🦓,zebra,zebra,
🦌,deer,deer,
🦬,bison,bison,
🐮,cow face,cow_face,
🐂,ox,ox,
🐃,water buffalo,water_buffalo,
🐄,cow,cow,
🐷,pig face,pig_face,
🐖,pig,pig,
🐗,boar,boar,
🐽,pig nose,pig_nose,
🐏,ram,ram,
🐑,ewe,ewe,
🐐,goat,goat,
🐪,camel,camel,
🐫,two-hump camel,two_hump_camel,
🦙,llama,llama,
🦒,giraffe,giraffe,
🐘,elephant,elephant,
🦣,mammoth,mammoth,
🦏,rhinoceros,rhinoceros,
🦛,hippopotamus,hippopotamus,
🐭,mouse face,mouse_face,
🐁,mouse,mouse,
🐀,rat,rat,
🐹,hamster,hamster,
🐰,rabbit face,rabbit_face,
🐇,rabbit,rabbit,
🐿️,chipmunk,chipmunk,
🦫,beaver,beaver,
🦔,hedgehog,hedgehog,
🦇,bat,bat,
🐻,bear,bear,
🐻‍❄️,polar bear,polar_bear,
🐨,koala,koala,
🐼,panda,panda,
🦥,sloth,sloth,
🦦,otter,otter,
🦨,skunk,skunk,
🦘,kangaroo,kangaroo,
🦡,badger,badger,
🐾,paw prints,paw_prints,
🦃,turkey,turkey,
🐔,chicken,chicken,
🐓,rooster,rooster,
🐣,hatching chick,hatching_chick,
🐤,baby chick,baby_chick,
🐥,front-facing baby chick,front_facing_baby_chick,
🐦,bird,bird,
🐧,penguin,penguin,
🕊️,dove,dove,
🦅,eagle,eagle,
🦆,duck,duck,
🦢,swan,swan,
🦉,owl,owl,
🦤,dodo,dodo,
🪶,feather,feather,
🦩,flamingo,flamingo,
🦚,peacock,peacock,
🦜,parrot,parrot,
🪽,wing,wing,
🐦‍⬛,black bird,black_bird,
🪿,goose,goose,
🐦‍🔥,phoenix,phoenix,
🐸,frog,frog,
🐊,crocodile,crocodile,
🐢,turtle,turtle,
🦎,lizard,lizard,
🐍,snake,snake,
🐲,dragon face,dragon_face,
🐉,dragon,dragon,
🦕,sauropod,sauropod,
🦖,T-Rex,t_rex,
🐳,spouting whale,spouting_whale,
🐋,whale,whale,
🐬,dolphin,dolphin,
🦭,seal,seal,
🐟,fish,fish,
🐠,tropical fish,tropical_fish,
🐡,blowfish,blowfish,
🦈,shark,shark,
🐙,octopus,octopus,
🐚,spiral shell,spiral_shell,
🪸,coral,coral,
🪼,jellyfish,jellyfish,
🦀,crab,crab,
🦞,lobster,lobster,
🦐,shrimp,shrimp,
🦑,squid,squid,
🦪,oyster,oyster,
🐌,snail,snail,
🦋,butterfly,butterfly,
🐛,bug,bug,
🐜,ant,ant,
🐝,honeybee,honeybee,
🪲,beetle,beetle,
🐞,lady beetle,lady_beetle,
🦗,cricket,cricket,
🪳,cockroach,cockroach,
🕷️,spider,spider,
🕸️,spider web,spider_web,
🦂,scorpion,scorpion,
🦟,mosquito,mosquito,
🪰,fly,fly,
🪱,worm,worm,
🦠,microbe,microbe,
💐,bouquet,bouquet,
🌸,cherry blossom,cherry_blossom,
💮,white flower,white_flower,
🪷,lotus,lotus,
🏵️,rosette,rosette,
🌹,rose,rose,
🥀,wilted flower,wilted_flower,
🌺,hibiscus,hibiscus,
🌻,sunflower,sunflower,
🌼,blossom,blossom,
🌷,tulip,tulip,
🪻,hyacinth,hyacinth,
🌱,seedling,seedling,
🪴,potted plant,potted_plant,
🌲,evergreen tree,evergreen_tree,
🌳,deciduous tree,deciduous_tree,
🌴,palm tree,palm_tree,
🌵,cactus,cactus,
🌾,sheaf of rice,sheaf_of_rice,
